countryName,WHORegion,Cases - cumulative total,Cases,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,cumulativeDeathTotal,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Montenegro,Europe,111038,17679.46,3994,635.92,654,1690,269.08,44,7.01,19
El Salvador,Americas,92686,1428.97,2557,39.42,0,2855,44.02,51,0.79,9
Cambodia,Western Pacific,90107,538.95,3510,20.99,466,1821,10.89,103,0.62,13
Rwanda,Africa,84127,649.52,3423,26.43,608,1038,8.01,61,0.47,11
Cameroon,Africa,82454,310.61,0,0,0,1338,5.04,0,0,0
Maldives,South-East Asia,80218,14840.24,693,128.2,0,225,41.62,3,0.55,0
Luxembourg,Europe,75216,12013.26,437,69.8,86,830,132.56,2,0.32,0
Senegal,Africa,72086,430.52,1084,6.47,71,1697,10.14,83,0.5,17
Singapore,Western Pacific,66692,1139.97,411,7.03,116,50,0.85,5,0.09,0
Jamaica,Americas,63464,2143.21,4376,147.78,752,1417,47.85,97,3.28,15
Malawi,Africa,59787,312.53,1322,6.91,163,2098,10.97,100,0.52,16
Democratic Republic of the Congo,Africa,54137,60.45,636,0.71,128,1055,1.18,5,0.01,2
Côte d’Ivoire,Africa,53787,203.91,1204,4.56,57,402,1.52,37,0.14,5
Réunion,Africa,48683,5437.55,1929,215.46,1929,332,37.08,22,2.46,22
Angola,Africa,46340,141,1376,4.19,264,1166,3.55,48,0.15,3
Australia,Western Pacific,45750,179.41,5661,22.2,842,984,3.86,17,0.07,0
Fiji,Western Pacific,44490,4962.94,3313,369.57,302,453,50.53,48,5.35,9
Trinidad and Tobago,Americas,43145,3082.91,1190,85.03,112,1237,88.39,49,3.5,12
Madagascar,Africa,42847,154.73,28,0.1,0,955,3.45,1,0,0
Eswatini,Africa,41229,3553.72,3968,342.02,515,1033,89.04,82,7.07,11
French Polynesia,Western Pacific,40178,14302.9,7473,2660.3,1061,328,116.76,104,37.02,17
Guadeloupe,Americas,37955,9485.81,2672,667.79,0,427,106.72,81,20.24,0
Sudan,Eastern Mediterranean,37662,85.89,46,0.1,14,2784,6.35,0,0,0
Malta,Europe,35866,6970.17,432,83.95,35,437,84.93,4,0.78,1
Cabo Verde,Africa,34825,6263.64,380,68.35,52,307,55.22,7,1.26,1
Martinique,Americas,34722,9252.66,2720,724.82,901,291,77.55,48,12.79,13
French Guiana,Americas,33452,11199.87,1026,343.51,0,207,69.3,6,2.01,0
Mauritania,Africa,32220,692.95,1585,34.09,194,681,14.65,34,0.73,4
Guinea,Africa,28925,220.25,670,5.1,0,316,2.41,23,0.18,0
Suriname,Americas,27574,4700.39,933,159.04,71,700,119.33,15,2.56,1
Syrian Arab Republic,Eastern Mediterranean,27115,154.94,636,3.63,112,1981,11.32,39,0.22,4
Gabon,Africa,25717,1155.44,110,4.94,0,165,7.41,0,0,0
Guyana,Americas,24372,3098.59,797,101.33,36,597,75.9,19,2.42,3
Haiti,Americas,20746,181.94,27,0.24,0,583,5.11,0,0,0
Togo,Africa,19963,241.14,1604,19.37,261,175,2.11,5,0.06,2
Seychelles,Africa,19770,20102.29,498,506.37,90,98,99.65,0,0,0
Mayotte,Africa,19717,7227.24,92,33.72,19,175,64.15,0,0,0
Papua New Guinea,Western Pacific,17965,200.79,121,1.35,18,192,2.15,0,0,0
Bahamas,Americas,17545,4461.61,822,209.03,0,338,85.95,25,6.36,0
Tajikistan,Europe,16962,177.84,287,3.01,0,125,1.31,0,0,0
Somalia,Eastern Mediterranean,16892,106.28,493,3.1,0,927,5.83,35,0.22,0
Belize,Americas,15556,3912.2,546,137.31,141,353,88.78,9,2.26,2
Andorra,Europe,15003,19417.59,43,55.65,1,130,168.25,1,1.29,0
Curaçao,Americas,14999,9140.55,397,241.94,62,139,84.71,5,3.05,2
Timor-Leste,South-East Asia,14935,1132.77,1780,135.01,0,51,3.87,11,0.83,0
Mali,Africa,14779,72.98,77,0.38,15,536,2.65,1,0,0
Lesotho,Africa,14382,671.35,30,1.4,0,400,18.67,1,0.05,0
Aruba,Americas,14060,13168.99,654,612.55,57,128,119.89,7,6.56,2
Burkina Faso,Africa,13737,65.72,60,0.29,22,171,0.82,1,0,0
Congo,Africa,13493,244.52,95,1.72,0,179,3.24,0,0,0
Lao People's Democratic Republic,Western Pacific,12957,178.09,2309,31.74,336,11,0.15,2,0.03,0
Benin,Africa,12492,103.04,2309,19.05,0,127,1.05,8,0.07,0
Djibouti,Eastern Mediterranean,11701,1184.31,12,1.21,3,157,15.89,1,0.1,0
Burundi,Africa,11599,97.55,1401,11.78,218,10,0.08,0,0,0
South Sudan,Africa,11337,101.28,114,1.02,23,120,1.07,0,0,0
Central African Republic,Africa,11270,233.34,19,0.39,0,99,2.05,0,0,0
Iceland,Europe,10254,2816,572,157.09,0,30,8.24,0,0,0
Gambia,Africa,9470,391.86,152,6.29,0,301,12.46,24,0.99,0
Guam,Western Pacific,9253,5482.45,503,298.03,115,145,85.91,1,0.59,0
Jersey,Europe,9147,8485.47,230,213.37,92,76,70.5,2,1.86,1
Equatorial Guinea,Africa,9096,648.33,124,8.84,47,123,8.77,0,0,0
Nicaragua,Americas,8867,133.85,371,5.6,371,199,3,1,0.02,1
Mauritius,Africa,8667,681.49,2207,173.54,333,27,2.12,5,0.39,1
Yemen,Eastern Mediterranean,7580,25.41,233,0.78,41,1424,4.77,17,0.06,4
Saint Lucia,Americas,7274,3961.29,799,435.12,42,97,52.82,2,1.09,0
Eritrea,Africa,6632,187.01,23,0.65,8,37,1.04,0,0,0
Isle of Man,Europe,6366,7486.59,353,415.14,53,29,34.1,0,0,0
Sierra Leone,Africa,6357,79.69,14,0.18,2,121,1.52,0,0,0
Niger,Africa,5770,23.84,36,0.15,0,196,0.81,0,0,0
United States Virgin Islands,Americas,5638,5399.09,312,298.78,33,49,46.92,8,7.66,4
Guinea-Bissau,Africa,5590,284.04,384,19.51,72,108,5.49,14,0.71,5
Liberia,Africa,5527,109.28,19,0.38,0,245,4.84,0,0,0
Gibraltar,Europe,5299,15728.24,64,189.96,9,96,284.94,0,0,0
San Marino,Europe,5292,15593.14,48,141.43,13,90,265.19,0,0,0
Chad,Africa,4987,30.36,3,0.02,0,174,1.06,0,0,0
Barbados,Americas,4668,1624.36,87,30.27,16,48,16.7,0,0,0
Comoros,Africa,4054,466.19,15,1.72,3,147,16.9,0,0,0
Sint Maarten,Americas,3472,8096.64,245,571.34,78,43,100.28,2,4.66,1
Liechtenstein,Europe,3345,8632.93,38,98.07,0,58,149.69,0,0,0
Monaco,Europe,3156,8041.99,76,193.66,15,35,89.19,0,0,0
Saint Martin,Americas,3147,8140.41,55,142.27,0,17,43.97,-16,-41.39,0
New Zealand,Western Pacific,2803,58.13,225,4.67,63,26,0.54,0,0,0
Bermuda,Americas,2790,4480.27,92,147.74,40,33,52.99,0,0,0
Turks and Caicos Islands,Americas,2613,6748.8,45,116.23,0,20,51.66,1,2.58,0
Bhutan,South-East Asia,2591,335.79,14,1.81,0,3,0.39,0,0,0
British Virgin Islands,Americas,2568,8492.91,7,23.15,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2546,1161.71,54,24.64,22,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2320,2091.22,3,2.7,0,12,10.82,0,0,0
Brunei Darussalam,Western Pacific,1983,453.28,1131,258.53,110,5,1.14,2,0.46,2
Bonaire,Americas,1742,8328.95,18,86.06,2,17,81.28,0,0,0
Saint Barthélemy,Americas,1553,15710.67,21,212.44,0,1,10.12,0,0,0
Antigua and Barbuda,Americas,1540,1572.57,143,146.02,50,43,43.91,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Dominica,Americas,1339,1859.95,386,536.18,0,1,1.39,1,1.39,0
Guernsey,Europe,1180,1830.37,92,142.71,31,18,27.92,0,0,0
Faroe Islands,Europe,999,2044.41,6,12.28,2,2,4.09,0,0,0
Saint Kitts and Nevis,Americas,883,1660.02,202,379.76,60,3,5.64,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,668,1016.43,12,18.26,5,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,310,546.04,53,93.36,5,0,0,0,0,0
Grenada,Americas,230,204.4,42,37.33,8,1,0.89,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,224,389.18,4,6.95,0,2,3.47,0,0,0
Anguilla,Americas,166,1106.52,29,193.31,0,0,0,0,0,0
New Caledonia,Western Pacific,135,47.29,1,0.35,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,25,500.1,2,40.01,0,1,20,0,0,0
Sint Eustatius,Americas,24,764.57,1,31.86,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,10,517.33,1,51.73,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,2,11.05,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
